"","stimulus","condition_1","condition_2","stim_id","target","trials.thisN","participant","accuracy","condition","find_target.time"
"1","C_62","CON","INCON",9,"shampoo",0,2,1,"CON",3.96995848200459
"2","C_4","INCON","CON",8,"brush",1,2,1,"INCON",1.4472563490126
"3","C_20","INCON","CON",6,"egg",2,2,1,"INCON",2.2306076179957
"4","C_12","CON","INCON",5,"dish scrubber",3,2,1,"CON",1.55430320400046
"5","C_92","CON","INCON",1,"electric iron",4,2,0,"CON",3.22278752499551
"6","C_68","INCON","CON",10,"dish soap",5,2,1,"INCON",1.86371632300143
"7","C_104","INCON","CON",2,"belt",6,2,1,"INCON",2.62071120200562
"8","C_43","CON","INCON",7,"clock",7,2,1,"CON",1.02526828399277
"9","C_10","CON","INCON",3,"bread knife",8,2,1,"CON",2.05107210999995
"10","C_120","INCON","CON",4,"tire",9,2,1,"INCON",1.42705179900804
